id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
243,7/2/16 18:45,48,2,1420,3,1,9767.36,,5038,1465.5,5775.47,1465.5
244,7/2/16 18:50,53,1,3480,8,3,27356.58,,6821.5,1220.5,11245.3,1220.5
245,7/2/16 18:54,49,2,1050,7,1,5389.91,,6772,2168.5,7208.27,2168.5
246,7/2/16 19:02,54,1,1500,8,1,5745.05,,10630,5691.5,6800.45,5691.5
247,7/2/16 19:06,50,2,1300,3,1,4914.3,,5446,1989,5558.96,1989
248,7/2/16 19:10,51,2,1200,8,1,19066.41,,12077,5056.5,30979.2,5056.5
249,7/2/16 19:15,52,2,908,8,1,3170.13,,13423,4765,6759.98,4765
250,7/2/16 19:20,48,3,1120,3,1,3896.47,,2911.5,1275.5,5125.17,1275.5
251,7/2/16 19:30,53,2,3480,8,3,23417.2,,8847.5,2855.5,16742.3,2855.5
252,7/2/16 19:34,49,3,1650,7,1,12861.33,,13275.5,4048.5,10430,4048.5
253,7/2/16 19:42,54,2,2000,8,1,8594,,16346,7414.5,7951.56,7414.5
254,7/2/16 19:46,50,3,1550,3,1,2157.28,,6076,2409,6670.24,2409
255,7/2/16 19:50,51,3,2200,8,1,21027.74,,13205.5,5170.5,23718,5170.5
256,7/2/16 19:54,52,3,1408,8,1,5046.96,,12155.5,5451,5710.89,5451
257,7/2/16 19:58,48,4,1620,3,1,9028.72,,5782,1929.5,7327.39,1929.5
258,7/2/16 20:02,49,4,1200,7,1,9110.42,,9825,3874.5,7135.97,3874.5
259,7/2/16 20:06,55,1,1300,5,2,2681.43,,2984.5,1221.5,8146.83,1221.5
260,7/2/16 20:10,53,3,1100,8,3,28117.28,,11130.5,1947.5,20053.6,1947.5
261,7/2/16 20:18,54,3,1200,8,1,14448.21,,15414.5,7764,8149.59,7764
262,7/2/16 20:22,50,4,1550,3,1,8105.7,,8220.5,3602.5,8441.95,3602.5
263,7/2/16 20:30,51,4,1400,8,1,21557.41,,20237.5,9474,40405.1,9474
264,7/2/16 20:34,52,4,1008,8,1,776.64,,11645,6345,7110.25,6345
265,7/2/16 20:38,48,5,1420,3,1,11109.36,,4225.5,1469.5,5982.59,1469.5
266,7/2/16 20:42,49,5,1000,7,1,4618.99,,8225,3985.5,8825.63,3985.5
